date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-12-01,,6483,,,,5635,,
2017-12-02,,1036,,,,729,,
2017-12-03,3501682.60597,1177,0.0,0.260317,1142060.0,894,363.092494453,
2017-12-04,55948406.4779,763,0.0,0.27027,592937.0,619,751.3506,
2017-12-05,2037589.49764,504,0.0,0.243052,461626.0,432,550.790831488,
2017-12-06,765500.110354,305,0.0,0.228964,327862.0,262,634.066467032,
2017-12-07,810559.479345,387,55658980.0,0.233447,431774.0,313,501.91105,
2017-12-08,3847611.73192,1243,84842472.0,0.35585,1560460.0,990,462.605,
2017-12-09,2804474.38974,908,105555584.0,0.442726,758682.0,761,464.8623,
2017-12-10,1373845.14904,728,102495968.0,0.429893,443550.0,660,429.893,
2017-12-11,2102414.54249,789,95202808.0,0.399304,621039.0,696,399.304,
2017-12-12,2232156.4281,751,90699872.0,0.380417,985551.0,640,397.146762479,
2017-12-13,2294341.29241,823,109764496.0,0.460379,736731.0,718,453.857271086,
2017-12-14,1270327.46715,562,103780192.0,0.43528,539000.0,489,436.80348,
2017-12-15,1668080.35351,799,102686032.0,0.43069,499531.0,689,412.382571288,
2017-12-16,1947048.68002,789,99243792.0,0.416253,591577.0,666,363.388869,
2017-12-17,5423979.36507,1914,130848144.0,0.548809,2841200.0,1486,413.798693146,
2017-12-18,7468801.70484,2655,175073056.0,0.734299,4383170.0,2004,451.593885,
2017-12-19,15187681.6376,2467,280022496.0,1.17,4642800.0,1992,747.472641437,
2017-12-20,9851310.54978,1323,235378160.0,0.987234,2862170.0,1171,971.696608927,
2017-12-21,5118431.52595,1177,233773680.0,0.980504,1137010.0,1120,392.205522016,
2017-12-22,6713403.86457,1206,226957968.0,0.951917,1351870.0,1092,606.800281741,
2017-12-23,4870315.61401,1285,191197632.0,0.80193,2173300.0,1109,508.248468927,
2017-12-24,2983073.86763,906,208610672.0,0.874964,1570190.0,749,651.84818,
2017-12-25,3218056.38706,850,204693328.0,0.858534,1934050.0,717,535.634211396,
2017-12-26,5993028.26639,996,201839824.0,0.846566,2233780.0,901,660.32148,
2017-12-27,6155804.13287,1075,219876880.0,0.922217,2234530.0,968,525.66369,
2017-12-28,4007079.68371,1061,202336320.0,0.848648,2505870.0,902,643.187773256,
2017-12-29,6126810.07502,1312,215223376.0,0.9027,3421320.0,1136,579.52067193,
2017-12-30,4636804.03574,998,214315536.0,0.898892,2259960.0,889,494.98386872,
2017-12-31,6455366.4943,1866,202045168.0,0.847427,6452750.0,1537,593.1989,
2018-01-01,23485176.694,2403,330635488.0,1.39,10405100.0,1909,764.5,
2018-01-02,27471237.5127,3429,466727936.0,1.96,21727200.0,2594,978.04,
2018-01-03,20928965.7608,1922,633316608.0,2.66,14808700.0,1656,1325.96345,
