date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-01-29,,1,,,,2,,
2018-01-30,,,,,,,,
2018-01-31,,,,,,,,
2018-02-01,,2808,,,,2597,,
2018-02-02,24121269.0009,1894,0.0,0.790528,1023190.0,1779,286.133752848,
2018-02-03,12745353.8847,1822,0.0,0.884674,2760030.0,1443,223.196615535,
2018-02-04,14425834.93,1716,0.0,1.3,2063750.0,1381,325.0,
2018-02-05,7010868.10348,943,0.0,1.06,738262.0,797,265.0,
2018-02-06,4940020.78809,1047,0.0,0.695512,841198.0,926,173.878,
2018-02-07,2552922.72582,924,0.0,0.882117,736475.0,813,220.52925,
2018-02-08,2381196.66793,724,0.0,0.789037,358548.0,624,239.4727295,
2018-02-09,2504832.93199,613,0.0,0.79667,125550.0,504,199.1675,
2018-02-10,2133109.59304,618,0.0,0.85109,144515.0,507,212.7725,
2018-02-11,3587054.36474,446,0.0,0.767819,143034.0,410,191.95475,
2018-02-12,1526924.38415,675,0.0,0.732832,234201.0,523,293.1328,
2018-02-13,2058885.94884,626,203072544.0,0.847653,281850.0,526,252.915920346,
2018-02-14,13281030.3446,3958,191875760.0,0.800916,3180900.0,4022,200.229,
2018-02-15,10455119.0674,1173,245914624.0,1.03,2709260.0,1216,309.0,
2018-02-16,2147425.71582,605,240424800.0,1.0,1243790.0,671,250.0,
2018-02-17,3049892.80151,961,238530112.0,0.995658,4000670.0,896,380.189308383,
2018-02-18,10470938.6252,1497,286893056.0,1.2,6227700.0,1330,607.752,
2018-02-19,17704229.9801,2014,333462400.0,1.39,10619600.0,2110,370.81303077,
2018-02-20,7548061.01619,1227,383845664.0,1.6,6522220.0,1236,462.56832,
2018-02-21,4687623.66326,814,317242112.0,1.32,3777420.0,848,384.07005763,
2018-02-22,3303714.58917,718,301122944.0,1.26,3007610.0,676,453.003899222,
2018-02-23,4475441.12512,741,288825920.0,1.21,3370030.0,723,302.5,
2018-02-24,1949199.68802,509,314754240.0,1.31,1872460.0,540,327.5,
2018-02-25,6757705.13284,470,294946496.0,1.23,1202500.0,525,350.2007354,
2018-02-26,3138235.55145,529,295086016.0,1.23,1650060.0,559,307.5,
2018-02-27,10203390.4748,664,294195584.0,1.23,2789550.0,707,311.03133,
2018-02-28,1049667.26288,446,260678752.0,1.09,1839730.0,530,272.5,
2018-03-01,1523617.95202,528,253846288.0,1.06,2033340.0,589,394.390596,
2018-03-02,1770065.19631,517,246342848.0,1.03,2565560.0,500,511.395,
2018-03-03,986591.318509,516,241606016.0,1.01,1966270.0,601,252.5,
2018-03-04,2458833.66535,571,219287328.0,0.915336,1936570.0,599,457.668,
2018-03-05,2334477.68531,546,204269328.0,0.852649,1682430.0,499,842.966701648,
2018-03-06,1134592.47426,447,197876832.0,0.825966,1252580.0,424,487.880523124,
2018-03-07,1248665.16784,530,184824944.0,0.770105,1655770.0,543,383.450527579,
2018-03-08,863395.169877,406,155103904.0,0.646267,1237580.0,417,322.487233,
2018-03-09,1079319.2906,439,153312608.0,0.638803,1509100.0,371,686.841624403,
2018-03-10,4936363.23542,401,162763088.0,0.67818,530087.0,402,299.7284328,
2018-03-11,246014.067222,210,156794400.0,0.653311,485139.0,223,230.924520135,
2018-03-12,5341485.58396,275,167273264.0,0.696973,480578.0,293,295.572797721,
2018-03-13,815794.704747,312,165219632.0,0.688416,415830.0,268,944.094287554,
2018-03-14,1335164.16485,533,159959888.0,0.6665,1594520.0,412,666.5,
2018-03-15,607775.226087,335,139960128.0,0.583168,1203720.0,318,438.747261235,
