date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-12-12,,1812,,,,1594,,
2017-12-13,,1696,,,,1479,,
2017-12-14,,714,,,,636,,
2017-12-15,,731,,,,641,,
2017-12-16,,494,,,,437,,
2017-12-17,,393,,,,350,,
2017-12-18,,422,,,,393,,
2017-12-19,,349,,,,309,,
2017-12-20,,343,,,,300,,
2017-12-21,,329,,,,297,,
2017-12-22,,273,,,,239,,
2017-12-23,,261,,,,234,,
2017-12-24,,349,,,,305,,
2017-12-25,,411,,,,370,,
2017-12-26,,423,,,,393,,
2017-12-27,,641,,,,405,,
2017-12-28,9372525.15652,299,0.0,0.742602,807338.0,270,803.555634054,
2017-12-29,3012948.93218,163,0.0,0.732754,970610.0,160,505.60026,
2017-12-30,2903798.14182,301,0.0,0.677002,2463710.0,235,1354.004,
2017-12-31,3115103.48555,287,0.0,0.839057,1822440.0,257,1678.114,
2018-01-01,9733907.69688,125,0.0,1.01,860856.0,112,815.614551691,
2018-01-02,134690912.07,370,0.0,0.927359,3032790.0,333,278.2077,
2018-01-03,61298007.4092,682,105769576.0,1.07,2516980.0,625,38.52,
2018-01-04,16928041.3548,303,119079968.0,1.2,1963360.0,298,240.0,
2018-01-05,6707571.71908,223,120568952.0,1.22,3755230.0,198,846.392428566,
2018-01-06,4694515.40158,293,135098080.0,1.37,2146630.0,283,657.6,
2018-01-07,4238745.48068,244,158158608.0,1.6,2199950.0,227,1130.52329201,
2018-01-08,4183305.00132,310,158608384.0,1.6,6012950.0,297,800.0,
2018-01-09,13768710.1119,501,209508352.0,2.12,10702000.0,385,2120.0,
2018-01-10,26408151.7345,332,232378624.0,2.35,6472780.0,291,3162.03735077,
2018-01-11,6195876.7006,318,218727472.0,2.21,5189330.0,295,1289.87492532,
2018-01-12,3663974.03825,323,189657568.0,1.92,8366370.0,275,1555.2,
2018-01-13,4393782.48798,264,199228736.0,2.01,10567000.0,230,1817.844,
2018-01-14,3374233.989,290,181863728.0,1.84,10549400.0,241,1552.78690519,
2018-01-15,24663159.0168,305,170700688.0,1.73,10366900.0,245,1392.65,
2018-01-16,3405555.63585,303,191964912.0,1.94,9758750.0,267,1455.0,
2018-01-17,2539132.70293,234,153729680.0,1.55,7401500.0,199,3435.575,
2018-01-18,4081388.09148,251,158529840.0,1.6,11912700.0,200,1600.0,
2018-01-19,1358921.071,187,155766688.0,1.57,8227090.0,171,824.25,
2018-01-20,1259299.44434,260,161641664.0,1.63,12286500.0,229,822.771715069,
2018-01-21,65699226.1243,774,187338720.0,1.89,14525400.0,534,1421.07515111,
2018-01-22,38425213.1228,1525,242960432.0,2.46,16599300.0,1031,1230.0,
2018-01-23,179026159.345,1057,331986528.0,3.36,16627300.0,844,339.2031216,
2018-01-24,69816287.552,677,344491136.0,3.48,24336000.0,526,2610.0,
2018-01-25,18252628.2059,704,331218912.0,3.35,13398100.0,499,1256.25,
2018-01-26,9751504.35014,605,294974272.0,2.98,8235690.0,386,989.99766536,
2018-01-27,7544532.49081,542,299177184.0,3.02,13800600.0,353,714.625390178,
2018-01-28,12479868.7184,602,254850112.0,2.58,10871500.0,413,1486.49198598,
