date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-01-12,,3,,,,4,,
2018-01-13,,,,,,,,
2018-01-14,,,,,,,,
2018-01-15,,,,,,,,
2018-01-16,,,,,,,,
2018-01-17,,,,,,,,
2018-01-18,,,,,,,,
2018-01-19,,,,,,,,
2018-01-20,,,,,,,,
2018-01-21,,,,,,,,
2018-01-22,,,,,,,,
2018-01-23,,,,,,,,
2018-01-24,,796,,,,798,,
2018-01-25,861853298.616,4240,0.0,0.136822,4921770.0,2823,4611.67035599,
2018-01-26,341511516.571,3138,0.0,0.135555,13714100.0,2433,2739.430995,
2018-01-27,85613263.1112,1236,0.0,0.118157,7967360.0,1065,2363.14,
2018-01-28,21526434.858,902,0.0,0.101224,20910700.0,785,1439.96984132,
2018-01-29,35329527.8705,873,0.0,0.097167,12441600.0,791,1208.97316775,
2018-01-30,20575659.2269,737,0.0,0.089484,7572320.0,677,512.2959,
2018-01-31,23837826.7677,569,0.0,0.075515,17593500.0,510,814.80685,
2018-02-01,12510317.5927,716,518850752.0,0.079713,17695000.0,659,1131.25045275,
2018-02-02,16663052.3086,1030,458472352.0,0.070437,10075100.0,949,678.446964626,
2018-02-03,15423500.2545,812,468534880.0,0.071983,12201700.0,763,718.354949661,
2018-02-04,9380791.41969,660,506156544.0,0.077763,10996500.0,598,777.63,
2018-02-05,8383524.03432,709,395666848.0,0.060788,7822880.0,623,633.79483622,
2018-02-06,9138509.33537,816,329474336.0,0.050618,9636530.0,702,575.12576544,
2018-02-07,7524321.09604,765,380579488.0,0.05847,9181470.0,643,584.7,
2018-02-08,4352748.46035,457,350397536.0,0.053833,13729000.0,404,701.019418819,
2018-02-09,3626967.69862,564,383150720.0,0.058865,12234200.0,467,882.975,
2018-02-10,22918858.3033,892,391252512.0,0.06011,15163400.0,697,1153.41504348,
2018-02-11,5818232.62316,667,329049760.0,0.050553,11548100.0,527,700.462368,
2018-02-12,6856062.09637,536,330167968.0,0.050725,9872650.0,463,633.599963513,
2018-02-13,4482537.43576,440,342776032.0,0.052644,7100600.0,410,597.45780888,
2018-02-14,3350190.63563,474,330005280.0,0.050683,9617780.0,435,770.906118367,
2018-02-15,2008063.59183,441,354631648.0,0.054465,12114400.0,395,554.147334375,
2018-02-16,3500414.59616,365,380079552.0,0.058373,10428800.0,339,476.129505718,
2018-02-17,3587521.02252,487,400831968.0,0.06156,15153200.0,470,671.6196,
2018-02-18,4215204.61179,490,467974912.0,0.071872,13177100.0,440,977.841257982,
2018-02-19,4159610.67742,392,413354496.0,0.063483,10106700.0,374,645.529424206,
2018-02-20,6071460.31714,383,437943840.0,0.06726,8398660.0,385,672.755374066,
2018-02-21,3664420.96521,373,377096832.0,0.057915,9700100.0,370,704.150476334,
2018-02-22,6619469.13835,302,360686976.0,0.055395,8557360.0,304,656.087581299,
2018-02-23,4028817.02715,307,331355520.0,0.05089,11871500.0,315,509.15445,
2018-02-24,7218358.41266,316,346986816.0,0.053291,9066980.0,322,654.21826823,
2018-02-25,2014244.89288,4888,341883776.0,0.052507,8974970.0,4844,1.890252,
2018-02-26,2459990.80802,332,329763584.0,0.050645,8151460.0,343,818.007267302,
2018-02-27,4236375.09737,331,351213632.0,0.05394,10371500.0,324,1064.74124816,
2018-02-28,2190688.66103,291,336772256.0,0.051722,9077890.0,307,1070.490234,
2018-03-01,5017253.66301,336,315855584.0,0.048509,8320570.0,344,801.435168376,
2018-03-02,2108046.67047,294,322463744.0,0.049164,9165450.0,312,522.485075706,
2018-03-03,5631497.34347,297,304046720.0,0.046356,7736220.0,302,701.711354755,
